TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Japanese Gulch,Puget Sound and Islands,4,trails,174,363,3.2,10,47.94676382,-122.2920799,3/13/21,91,https://www.wta.org/go-hiking/hikes/japanese-gulch
Japanese Peace Garden,Eastern Washington,0.2,trails,,,0,0,47.126997,-119.272793,,0,https://www.wta.org/go-hiking/hikes/japanese-peace-garden
Jarrell Cove State Park - Harstine Island,Olympic Peninsula,1.5,roundtrip,200,175,3.5,6,47.2303176,-122.8835855,2/28/21,11,https://www.wta.org/go-hiking/hikes/harstine-island-state-park
Jefferson Lake,Olympic Peninsula,,,,,2.75,4,47.63696786,-123.1907963,8/1/20,5,https://www.wta.org/go-hiking/hikes/jefferson-lake
Jefferson Ridge,Olympic Peninsula,4.8,roundtrip,1832,3832,3.5,6,47.57123333,-123.1315167,10/5/20,49,https://www.wta.org/go-hiking/hikes/jefferson-ridge
Jensen Family Forest Park,Puget Sound and Islands,0.7,roundtrip,,,0,0,48.93391396,-122.6278675,5/23/20,2,https://www.wta.org/go-hiking/hikes/jensen-family-forest-park
Jerry Lakes,North Cascades,,,,,3,4,,,9/1/20,3,https://www.wta.org/go-hiking/hikes/jerry-lakes
Jester Mountain,Central Cascades,4.5,roundtrip,628,5508,0,0,47.3510527,-120.7070182,10/31/20,15,https://www.wta.org/go-hiking/hikes/jester-mountain
Jetty Island,Puget Sound and Islands,4,roundtrip,,5,4,1,48.00385933,-122.2283335,9/3/17,8,https://www.wta.org/go-hiking/hikes/jetty-island
Jimmy Creek,Central Cascades,,,,,1.25,4,,,6/21/20,9,https://www.wta.org/go-hiking/hikes/jimmy-creek
Joe Lake,Snoqualmie Region,16,roundtrip,2235,4625,4.57,7,47.3957957,-121.3790364,7/28/20,33,https://www.wta.org/go-hiking/hikes/little-joe-lake
Joe Watt Canyon,Snoqualmie Region,6,roundtrip,1000,3100,3,3,47.071117,-120.735283,1/31/21,25,https://www.wta.org/go-hiking/hikes/joe-watt-canyon
John C. Shields Park (Minnehaha),Eastern Washington,,,,,0,0,47.68679397,-117.3276879,6/24/18,3,https://www.wta.org/go-hiking/hikes/john-c-shields-park-minnehaha
John Muir Discovery,Mount Rainier Area,,,,,3.33,3,,,8/24/20,1,https://www.wta.org/go-hiking/hikes/john-muir-discovery
John Nelson Trail,Puget Sound and Islands,0.3,roundtrip,,,5,1,47.63038,-122.514553,8/4/20,1,https://www.wta.org/go-hiking/hikes/john-nelson-trail
John Tursi Trail,Puget Sound and Islands,2.2,roundtrip,600,,3.5,2,48.41701234,-122.6438878,1/23/21,32,https://www.wta.org/go-hiking/hikes/john-tursi-trail
Johnny Creek,North Cascades,,,,,2.75,4,,,2/11/20,2,https://www.wta.org/go-hiking/hikes/johnny-creek
Johns River State Wildlife Area,Southwest Washington,1.4,roundtrip,,20,3,5,46.8975746,-123.987685,8/17/20,5,https://www.wta.org/go-hiking/hikes/johns-river-state-wildlife-area
Johnson Creek - Medra Pass,Snoqualmie Region,8,roundtrip,2250,5420,3.7,10,47.3812,-120.885733,11/7/20,91,https://www.wta.org/go-hiking/hikes/johnson-medra-creek
Johnson Mountain,North Cascades,,,,,4.6,5,,,8/15/20,12,https://www.wta.org/go-hiking/hikes/johnson-mountain
Johnson Mountain,Snoqualmie Region,,,,,3,1,,,2/29/20,9,https://www.wta.org/go-hiking/hikes/johnson-mountain-1
Joker Mountain,North Cascades,,,,,3.5,4,,,,0,https://www.wta.org/go-hiking/hikes/joker-mountain
Jolly Creek,Snoqualmie Region,,,,,3.75,4,,,8/5/14,1,https://www.wta.org/go-hiking/hikes/jolly-creek
Jolly Mountain,Snoqualmie Region,13.9,roundtrip,4000,6440,2.62,8,47.4044,-121.099117,1/18/21,58,https://www.wta.org/go-hiking/hikes/jolly-mountain
Jolly Mountain via Sasse Ridge Trail,Snoqualmie Region,6.6,roundtrip,2003,6443,0,0,47.38596749,-121.0566326,11/29/20,35,https://www.wta.org/go-hiking/hikes/jolly-mountain-via-sasse-ridge-trail
Jones Island Trail,Puget Sound and Islands,,,,,0,0,48.61527147,-123.0480069,3/22/20,5,https://www.wta.org/go-hiking/hikes/jones-island-trail
Jordan Creek,South Cascades,,,,,2.75,4,46.50772668,-121.5806293,9/4/20,9,https://www.wta.org/go-hiking/hikes/jordon-creek
Joseph Whidbey State Park,Puget Sound and Islands,,,,,0,0,48.30808939,-122.7073288,3/21/21,16,https://www.wta.org/go-hiking/hikes/joseph-whidbey-state-park
Josephine Lake,Central Cascades,10.4,roundtrip,1800,5150,3.85,13,47.74646667,-121.0865167,10/11/20,103,https://www.wta.org/go-hiking/hikes/josephine-lake
Josephine Lake (Skagit),Puget Sound and Islands,,,,,3,2,48.5429323,-122.0531414,5/5/18,13,https://www.wta.org/go-hiking/hikes/josephine-lake-1
Jove Peak,Central Cascades,,,,6007,0,0,47.8112231,-121.0826,7/4/18,5,https://www.wta.org/go-hiking/hikes/jove-peak
Joyride,Issaquah Alps,,,,,0,0,,,10/3/18,13,https://www.wta.org/go-hiking/hikes/joyride
Juanita Bay Park,Puget Sound and Islands,2,trails,,,2,1,47.6953125,-122.2102051,12/31/20,11,https://www.wta.org/go-hiking/hikes/juanita-bay-park
Judge Jack Tanner Park,Puget Sound and Islands,1,trails,,,0,0,47.28286824,-122.4818945,,0,https://www.wta.org/go-hiking/hikes/judge-jack-tanner-park
Judi's Peak,Snoqualmie Region,,,3417,6560,0,0,,,10/24/20,7,https://www.wta.org/go-hiking/hikes/judis-peak
Judkin Trail,South Cascades,,,,,3.75,4,,,8/18/19,1,https://www.wta.org/go-hiking/hikes/judkin-trail
Jug Lake,South Cascades,7.4,roundtrip,1485,4480,2.89,9,46.72303333,-121.4366,6/10/20,19,https://www.wta.org/go-hiking/hikes/jug-lake
Julia Butler Hansen National Wildlife Refuge for the Columbian White-Tailed Deer,Southwest Washington,5.6,roundtrip,,20,2.2,5,46.25653333,-123.43635,8/17/19,7,https://www.wta.org/go-hiking/hikes/julia-butler-hansen-nwr
Julia's Gulch Park,Puget Sound and Islands,0.9,trails,150,,0,0,47.27146568,-122.3712748,,0,https://www.wta.org/go-hiking/hikes/julias-gulch-park
Jumbo Mountain,North Cascades,8,roundtrip,4500,5840,0,0,48.19578656,-121.5993619,8/2/20,2,https://www.wta.org/go-hiking/hikes/jumbo-mountain
Jumbo Peak,South Cascades,6,roundtrip,1300,5801,2.75,4,46.33538333,-121.7433833,8/24/20,10,https://www.wta.org/go-hiking/hikes/jumbo-peak
Jumpoff Joe Lookout,Central Washington,10,roundtrip,2531,5749,4,5,46.62161907,-121.0624695,11/14/20,10,https://www.wta.org/go-hiking/hikes/jumpoff-joe-lookout
Jumpoff Ridge,Central Cascades,8,roundtrip,1800,2600,1,1,47.8537658,-121.5022057,8/1/20,23,https://www.wta.org/go-hiking/hikes/jumpoff-ridge
Junction Lake,South Cascades,5,roundtrip,700,4780,2.5,2,45.98114209,-121.7581594,6/29/19,4,https://www.wta.org/go-hiking/hikes/indian-heaven-junction-lake
June Lake,South Cascades,2.86,roundtrip,445,3140,3.75,8,46.137267,-122.15685,9/27/20,53,https://www.wta.org/go-hiking/hikes/june-lake
June Lake Snowshoe,South Cascades,4.8,roundtrip,500,3140,3.75,4,46.1352375,-122.1568904,3/20/21,39,https://www.wta.org/go-hiking/hikes/june-lake-snowshoe
Junggeselle Peak,Snoqualmie Region,,,,6527,2.5,2,,,7/18/09,1,https://www.wta.org/go-hiking/hikes/junggeselle-peak
Jungle Creek,Snoqualmie Region,,,,,2.25,4,47.341372,-120.9032093,12/29/20,43,https://www.wta.org/go-hiking/hikes/jungle-creek
Jungle Hill Loop,Eastern Washington,15.4,roundtrip,3348,6565,3.6,5,48.60658941,-118.477644,10/15/20,9,https://www.wta.org/go-hiking/hikes/jungle-hill-loop
Juniper Dunes Wilderness,Central Washington,15,roundtrip,300,1050,3,6,46.3245547,-119.0254257,3/7/21,25,https://www.wta.org/go-hiking/hikes/juniper-dunes-wilderness
Juniper Ridge,South Cascades,6,roundtrip,1900,5611,3.93,14,46.39653333,-121.7652833,10/4/20,74,https://www.wta.org/go-hiking/hikes/juniper-ridge
Jupiter Lakes,Olympic Peninsula,,,,,3.5,4,,,9/5/99,1,https://www.wta.org/go-hiking/hikes/jupiter-lakes
K-3 Trail,Issaquah Alps,0.6,roundtrip,,,2.4,5,47.51282398,-121.9486499,3/21/21,77,https://www.wta.org/go-hiking/hikes/k-3-trail
K9,Central Cascades,,,,6242,3,3,,,11/7/19,6,https://www.wta.org/go-hiking/hikes/k9
Kachess Lake,Snoqualmie Region,1,roundtrip,50,2300,3.89,9,47.3587,-121.24605,3/7/21,28,https://www.wta.org/go-hiking/hikes/kachess-lake-shore
Kachess Nature,Snoqualmie Region,,,,,1.33,3,,,6/9/01,1,https://www.wta.org/go-hiking/hikes/kachess-nature
Kachess Ridge / Kachess Beacon,Snoqualmie Region,5.8,roundtrip,2200,4600,3.31,13,47.2672,-121.1737333,12/24/20,272,https://www.wta.org/go-hiking/hikes/kachess-ridge
Kah Tai Lagoon Nature Park,Olympic Peninsula,,,,,0,0,,,,0,https://www.wta.org/go-hiking/hikes/kah-tai-lagoon-nature-park
Kalaloch - Browns Point,Olympic Peninsula,4,roundtrip,25,25,3.88,8,47.61285,-124.3761667,11/28/20,47,https://www.wta.org/go-hiking/hikes/kalaloch-browns-point
Kalaloch Creek Nature Trail,Olympic Peninsula,0.8,roundtrip,20,25,0,0,47.60927906,-124.3725184,3/13/21,7,https://www.wta.org/go-hiking/hikes/kalaloch-nature-creek-trail
Kaleetan Lake,Snoqualmie Region,20.2,roundtrip,,4300,3.33,3,47.40113786,-121.5184879,8/31/20,37,https://www.wta.org/go-hiking/hikes/kaleetan-lake
Kaleetan Peak,Snoqualmie Region,12,roundtrip,4500,6224,4.64,11,47.4152381,-121.4432959,11/2/20,159,https://www.wta.org/go-hiking/hikes/kaleetan-peak
Kalispell Rock,Eastern Washington,5.6,roundtrip,1490,5200,0,0,48.633683,-117.101683,7/3/16,1,https://www.wta.org/go-hiking/hikes/kalispell-rock
Kamiak Butte,Eastern Washington,3.5,roundtrip,900,3600,3.73,11,46.8905208,-117.1359547,2/17/21,35,https://www.wta.org/go-hiking/hikes/kamiak-butte
Kanaskat-Palmer State Park,Puget Sound and Islands,3,roundtrip,,,4.25,4,47.3183845,-121.9005203,3/25/21,28,https://www.wta.org/go-hiking/hikes/kanasket-palmer-state-park
Kangaroo Temple,North Cascades,,,,,2,1,48.51433012,-120.6424999,6/2/18,5,https://www.wta.org/go-hiking/hikes/kangaroo-temple
Kautz Creek Snowshoe,Mount Rainier Area,8,roundtrip,2800,5300,4,2,46.7698051,-121.825773,12/24/20,22,https://www.wta.org/go-hiking/hikes/kautz-creek-snowshoe
Kautz Creek to Indian Henry's Hunting Ground,Mount Rainier Area,11,roundtrip,3800,5335,3.58,12,46.73635,-121.85555,10/17/20,115,https://www.wta.org/go-hiking/hikes/kautz-creek-to-indian-henrys-hunting-ground
Kay Creek,North Cascades,,,,,2.33,3,,,4/26/02,1,https://www.wta.org/go-hiking/hikes/kay-creek
Kayak Point Park,Puget Sound and Islands,,,,,3.25,4,48.138781,-122.360987,3/24/19,10,https://www.wta.org/go-hiking/hikes/kayak-point-park
Keechelus Ridge Snowshoe,Snoqualmie Region,6.4,roundtrip,2100,4900,1.4,5,47.32250513,-121.3238668,1/15/21,40,https://www.wta.org/go-hiking/hikes/keechelus-ridge-snowshoe
Keenan Meadows,Central Washington,3.1,one-way,,,3.33,3,,,,0,https://www.wta.org/go-hiking/hikes/keenen-meadow
Keenes Trail,South Cascades,,,,,3.25,4,,,6/26/03,1,https://www.wta.org/go-hiking/hikes/keenes-trail
Keeney Park,Puget Sound and Islands,0.2,roundtrip,,,0,0,47.61921088,-122.1102476,2/27/21,5,https://www.wta.org/go-hiking/hikes/keeney-park
Kelcema Lake,North Cascades,1.2,roundtrip,29,3040,4.12,8,48.11539697,-121.5923882,11/1/20,114,https://www.wta.org/go-hiking/hikes/kelcema-lake
Kelley Creek,Central Cascades,,,,,3.25,4,47.73231667,-121.2079167,9/12/20,28,https://www.wta.org/go-hiking/hikes/kelley-creek
Kelley Creek via Martin Creek Trailhead,Central Cascades,5.8,roundtrip,1100,3472,4.67,3,47.72925705,-121.2065446,11/22/20,34,https://www.wta.org/go-hiking/hikes/kelley-creek-via-martin-creek-connector
Kelley Hollow,Central Washington,12,roundtrip,2000,,3.75,4,,,4/27/18,3,https://www.wta.org/go-hiking/hikes/kelley-hollow
Kelly Butte,Mount Rainier Area,3.4,roundtrip,1100,5409,4,21,47.16320296,-121.4741135,11/22/20,257,https://www.wta.org/go-hiking/hikes/kelly-butte
Kelsey Creek Park Nature Trails,Puget Sound and Islands,1.7,roundtrip,194,,3.5,2,47.605133,-122.165522,1/29/21,6,https://www.wta.org/go-hiking/hikes/kelsey-creek-park-nature-trails
Kendall Katwalk,Snoqualmie Region,12,roundtrip,2600,5400,4.22,77,47.42785,-121.41348,11/29/20,808,https://www.wta.org/go-hiking/hikes/kendall-katwalk
Kendall Peak,Snoqualmie Region,9.2,roundtrip,2800,5784,3.4,5,47.427855,-121.4133453,1/23/21,124,https://www.wta.org/go-hiking/hikes/kendall-peak
Kendall Peak Lakes,Snoqualmie Region,7,roundtrip,2030,4500,2,4,47.42851888,-121.3760834,3/7/21,46,https://www.wta.org/go-hiking/hikes/kendall-peak-lakes
Kendall Peak Lakes Snowshoe,Snoqualmie Region,9,roundtrip,1700,4400,4.23,13,47.39782631,-121.3952351,3/26/21,252,https://www.wta.org/go-hiking/hikes/kendall-peak-lakes-snowshoe
Kennedy Creek Natural Area Preserve,Olympic Peninsula,9,trails,420,,4.25,4,47.09951566,-123.086055,2/24/21,31,https://www.wta.org/go-hiking/hikes/kennedy-falls
Kennedy Hotsprings,Central Cascades,,,,,3.4,5,48.15493333,-121.2662333,9/8/20,15,https://www.wta.org/go-hiking/hikes/kennedy-hotsprings
Kennedy Ridge,Central Cascades,,,,,2.33,6,,,9/8/20,14,https://www.wta.org/go-hiking/hikes/kennedy-ridge
Kestner Homestead - Maple Glade,Olympic Peninsula,1.5,roundtrip,30,260,4,3,47.505167,-123.821333,8/15/20,13,https://www.wta.org/go-hiking/hikes/kestner-homestead
Kettle Creek,South Cascades,,,,,4.5,4,46.9437149,-121.3272549,8/9/17,10,https://www.wta.org/go-hiking/hikes/kettle-creek
Kettle Crest North,Eastern Washington,29,one-way,5200,7135,3.5,8,48.60907894,-118.4844589,10/16/20,41,https://www.wta.org/go-hiking/hikes/kettle-crest-north
Kettle Crest South,Eastern Washington,5,roundtrip,900,6500,3.6,10,48.501166,-118.4211588,8/1/20,26,https://www.wta.org/go-hiking/hikes/kettle-crest-south
Kettle Crest Trail,Eastern Washington,44,one-way,8000,7140,5,1,48.50099538,-118.4214592,7/17/20,8,https://www.wta.org/go-hiking/hikes/kettle-crest-trail
Kettles Trail System,Puget Sound and Islands,35,trails,,200,4,2,48.22695985,-122.7402878,12/14/20,24,https://www.wta.org/go-hiking/hikes/the-kettles-trail-system-of-whidbey-island
Key Central Forest,Puget Sound and Islands,,,,,0,0,47.35587658,-122.7638483,,0,https://www.wta.org/go-hiking/hikes/key-central-forest
Keyport Saltwater Park,Puget Sound and Islands,,,,,0,0,47.700817,-122.627334,2/27/21,1,https://www.wta.org/go-hiking/hikes/keyport-saltwater-park
Keystone Ridge,Central Cascades,8.4,roundtrip,,,0,0,47.64746135,-120.2317228,5/10/19,6,https://www.wta.org/go-hiking/hikes/keystone-ridge
Kid Creek,North Cascades,,,,,3,4,,,,0,https://www.wta.org/go-hiking/hikes/kid-creek
Killen Creek to High Camp,South Cascades,10,roundtrip,2300,6900,4,15,46.28846667,-121.5525167,9/21/20,83,https://www.wta.org/go-hiking/hikes/killen-creek
Kindy Creek,North Cascades,,,,,2.5,4,48.46967767,-121.2394524,4/7/20,7,https://www.wta.org/go-hiking/hikes/kindy-creek
Kindy Ridge,North Cascades,,,,,0,0,,,5/7/20,8,https://www.wta.org/go-hiking/hikes/kindy-ridge
King Mountain,Eastern Washington,,,,,3,1,48.7424245,-118.3800402,6/24/10,1,https://www.wta.org/go-hiking/hikes/king-mountain
King Sisters Preserve,Puget Sound and Islands,1.4,roundtrip,59,135,0,0,48.52922181,-123.0989135,,0,https://www.wta.org/go-hiking/hikes/king-sisters-preserve
Kirkland Watershed Park,Puget Sound and Islands,,,,,0,0,47.65374481,-122.1882922,12/5/20,4,https://www.wta.org/go-hiking/hikes/kirkland-watershed-park
Kirkwood Ranch,Eastern Washington,10,roundtrip,420,1600,0,0,45.63542171,-116.4807984,5/29/20,3,https://www.wta.org/go-hiking/hikes/kirkwood-ranch
Klahhane Ridge,Olympic Peninsula,5,roundtrip,1700,6050,4.5,26,47.98708333,-123.4608667,11/7/20,201,https://www.wta.org/go-hiking/hikes/klahhane-ridge
Klahhane Ridge Snowshoe,Olympic Peninsula,4,roundtrip,1500,6080,2,2,47.9837991,-123.4524399,2/22/20,4,https://www.wta.org/go-hiking/hikes/klahhane-ridge-snowshoe
Klapatche Park,Mount Rainier Area,21.4,roundtrip,3300,6000,4,5,46.7354,-121.8566,8/17/20,21,https://www.wta.org/go-hiking/hikes/klapatche-park
Klawatti Peak,North Cascades,,,,8485,0,0,48.554294,-121.104284,5/25/18,2,https://www.wta.org/go-hiking/hikes/klawatti-peak
Klickitat Haul Road,South Cascades,7,roundtrip,,,0,0,45.83299308,-121.0811108,11/28/20,4,https://www.wta.org/go-hiking/hikes/klickitat-haul-road
Klickitat Rail Trail,Southwest Washington,31,one-way,200,1550,0,0,45.69723869,-121.2897738,6/10/20,2,https://www.wta.org/go-hiking/hikes/klickitat-rail-trail-1
Klickitat Rail Trail - Klickitat River,Southwest Washington,10.5,roundtrip,200,350,4,5,45.69466984,-121.2918091,12/8/20,23,https://www.wta.org/go-hiking/hikes/klickitat-rail-trail
Klickitat Rail Trail - Swale Canyon,Southwest Washington,13,one-way,450,1550,2.67,3,45.72400825,-121.030798,1/23/21,27,https://www.wta.org/go-hiking/hikes/klickitat-rail-trail-swale-canyon
Klickitat Trail,South Cascades,38.2,roundtrip,1000,5500,4.6,5,46.466557,-121.693352,8/10/20,22,https://www.wta.org/go-hiking/hikes/klickitat
Klonaqua Lakes,Central Cascades,10,one-way,2700,5200,3,5,47.61240018,-120.9499038,9/15/20,28,https://www.wta.org/go-hiking/hikes/klonaqua-lakes
Klondike Swamp,Issaquah Alps,2.5,roundtrip,110,1270,2.75,4,47.53349781,-122.1136924,2/20/21,79,https://www.wta.org/go-hiking/hikes/klondike-swamp
Klone Peak,Central Cascades,,,,,3,4,,,,0,https://www.wta.org/go-hiking/hikes/klone-peak
Kloochman Rock,South Cascades,,,,,3.5,4,46.63064106,-121.0813222,8/11/19,7,https://www.wta.org/go-hiking/hikes/kloochman-rock
Kloshe Nanitch,Olympic Peninsula,6.4,roundtrip,2200,3160,3.67,9,48.068539,-124.1083,2/27/21,45,https://www.wta.org/go-hiking/hikes/kloshe-nanitch
Knapsack Pass,Mount Rainier Area,2.9,roundtrip,1300,6200,3.17,6,46.93315098,-121.8644714,10/3/20,93,https://www.wta.org/go-hiking/hikes/knapsack-pass
Kodak Peak,Central Cascades,18,roundtrip,420,6121,4,2,47.91839268,-121.0876393,9/29/20,23,https://www.wta.org/go-hiking/hikes/kodak-peak
Kopachuck State Park Trail,Olympic Peninsula,1,roundtrip,25,25,3.5,4,47.3085118,-122.6807268,1/3/21,13,https://www.wta.org/go-hiking/hikes/kopachuck-state-park-trail
Koppen Mountain,Snoqualmie Region,7,roundtrip,2300,6031,3.75,12,47.41911897,-120.9390771,11/7/20,111,https://www.wta.org/go-hiking/hikes/koppen-mountain
Kraule - Sunnyside,North Cascades,6,roundtrip,300,,0,0,,,3/24/21,3,https://www.wta.org/go-hiking/hikes/kraule-sunnyside
Kraus Ridge,South Cascades,8.8,roundtrip,1570,2370,2,4,46.464933,-121.897383,8/6/19,4,https://www.wta.org/go-hiking/hikes/kraus-ridge
Kubota Gardens,Puget Sound and Islands,2,trails,,,3,1,47.51280224,-122.2656655,3/20/21,8,https://www.wta.org/go-hiking/hikes/kubota-gardens
Kukutali Preserve,Puget Sound and Islands,2.2,roundtrip,200,230,4.29,7,48.42097114,-122.5529449,3/17/21,78,https://www.wta.org/go-hiking/hikes/kukutali-preserve
Kyes Peak,Central Cascades,12,roundtrip,5200,,0,0,,,9/29/20,7,https://www.wta.org/go-hiking/hikes/kyes-peak
LBA Park,Olympic Peninsula,4,trails,,,0,0,47.018072,-122.85522,8/29/20,3,https://www.wta.org/go-hiking/hikes/lba-park
La Bohn Gap,Snoqualmie Region,,,,,3.75,4,,,7/24/20,15,https://www.wta.org/go-hiking/hikes/la-bohn-gap
La Center Bottoms,Southwest Washington,0.66,trails,,,0,0,45.86148014,-122.6722554,7/30/17,1,https://www.wta.org/go-hiking/hikes/la-center-bottoms
La Rush/Bear Lakes,North Cascades,,,,,0,0,,,9/21/20,8,https://www.wta.org/go-hiking/hikes/la-rush-bear-lakes
LaCrosse Basin,Olympic Peninsula,18.5,one-way,5588,4400,3,6,47.51618626,-123.3311033,9/1/20,23,https://www.wta.org/go-hiking/hikes/lacrosse-basin
LaCrosse Pass,Olympic Peninsula,,,,,2.5,4,,,8/17/20,20,https://www.wta.org/go-hiking/hikes/lacrosse-pass
Labyrinth Mountain,Central Cascades,,,,,3,5,47.82785055,-121.0303259,11/21/20,53,https://www.wta.org/go-hiking/hikes/labyrinth-mountain
Lacamas Heritage Trail,Southwest Washington,7,roundtrip,,,2,1,45.6367045,-122.4599979,8/9/20,13,https://www.wta.org/go-hiking/hikes/lacamas-heritage-trail
Lacamas Park - Lacamas Creek,Southwest Washington,4.5,roundtrip,350,400,4.5,4,45.589364,-122.392031,7/5/20,17,https://www.wta.org/go-hiking/hikes/lacamas-park-lacamas-creek
Lacamas Park - Round Lake to Lower Falls,Southwest Washington,3.4,roundtrip,190,200,4.67,3,45.6039446,-122.4071275,3/13/21,10,https://www.wta.org/go-hiking/hikes/lacamas-park-round-lake-to-lower-falls
Ladder Creek Falls,North Cascades,0.4,roundtrip,,660,4.5,2,48.67489512,-121.2420273,11/1/20,38,https://www.wta.org/go-hiking/hikes/ladder-creek-falls
Ladies Pass,Central Cascades,,,,,0,0,,,10/2/20,26,https://www.wta.org/go-hiking/hikes/ladies-pass
Lake 22,North Cascades,5.4,roundtrip,1350,2400,4.26,306,48.07696667,-121.7457,3/22/21,2148,https://www.wta.org/go-hiking/hikes/lake-22-lake-twenty-two
Lake 22 - Winter,North Cascades,5,roundtrip,1200,2440,3.5,10,48.077615,-121.7468853,3/21/21,237,https://www.wta.org/go-hiking/hikes/lake-twentytwo-snowshoe
Lake Aldwell Overlook Trail,Olympic Peninsula,1.4,trails,50,,3,2,48.09770689,-123.5525592,2/24/21,13,https://www.wta.org/go-hiking/hikes/lake-aldwell-overlook-trail
Lake Angeles,Olympic Peninsula,7.4,roundtrip,2350,4196,3.56,16,48.03908333,-123.4319333,3/17/21,159,https://www.wta.org/go-hiking/hikes/lake-angeles
Lake Ann,Snoqualmie Region,8.2,roundtrip,2200,6500,3.6,10,47.43691412,-120.9372596,10/27/20,127,https://www.wta.org/go-hiking/hikes/lake-ann-1
Lake Ann (Mount Baker Highway),North Cascades,8.2,roundtrip,1900,4900,4.21,24,48.8510965,-121.6860796,11/1/20,257,https://www.wta.org/go-hiking/hikes/lake-ann
Lake Ann (Rainy Pass),North Cascades,3.4,roundtrip,700,5500,4.17,18,48.5156197,-120.7361753,10/29/20,108,https://www.wta.org/go-hiking/hikes/lake-ann-rainy-pass
Lake Augusta,Central Cascades,15.8,roundtrip,4750,6860,3.5,2,47.671,-120.7553,9/6/20,39,https://www.wta.org/go-hiking/hikes/lake-augusta
Lake Ballinger Park,Puget Sound and Islands,,,,,3,2,47.78974476,-122.3292561,6/5/20,8,https://www.wta.org/go-hiking/hikes/lake-ballinger-park
Lake Caroline,Central Cascades,11.5,roundtrip,3100,6300,2.75,8,47.53596667,-120.8139,10/13/20,130,https://www.wta.org/go-hiking/hikes/lake-caroline
Lake Chelan State Park - Little Bear Trail,Central Cascades,2.3,roundtrip,250,1350,3.67,6,47.8669734,-120.1794995,8/18/20,28,https://www.wta.org/go-hiking/hikes/little-bear-trail
Lake Christine,South Cascades,1.8,one-way,640,5040,3.75,8,46.7746056,-121.9478974,1/16/21,54,https://www.wta.org/go-hiking/hikes/lake-christine
Lake Clarice,Central Cascades,,,,,2,4,47.5421035,-121.0942685,7/20/18,4,https://www.wta.org/go-hiking/hikes/lake-clarice
Lake Constance,Olympic Peninsula,4.4,roundtrip,3300,4800,3.83,18,47.729617,-123.141733,9/29/20,85,https://www.wta.org/go-hiking/hikes/lake-constance
Lake Creek,North Cascades,37.8,roundtrip,2600,5800,2.8,5,48.8848396,-119.8666783,5/14/19,7,https://www.wta.org/go-hiking/hikes/lake-creek-1
Lake Creek,Central Cascades,,,,,2.5,4,47.9182,-121.0859333,,0,https://www.wta.org/go-hiking/hikes/lake-creek
Lake Creek,Eastern Washington,26,roundtrip,340,1840,3.2,5,47.40418778,-118.7438822,1/3/21,10,https://www.wta.org/go-hiking/hikes/odessa-lake-creek-trail
Lake Donald,Central Cascades,,,,,3,4,47.73308906,-120.8918381,10/6/20,13,https://www.wta.org/go-hiking/hikes/lake-donald-central-cascades-stevens-pass-west
Lake Dorothy - Lake Bear - Lake Deer,Central Cascades,11.5,roundtrip,1600,3800,3.82,38,47.60891667,-121.3861,11/29/20,566,https://www.wta.org/go-hiking/hikes/dorothy-lake
Lake Easton State Park,Snoqualmie Region,5,roundtrip,,,0,0,47.25422797,-121.197052,1/30/21,5,https://www.wta.org/go-hiking/hikes/lake-easton-state-park
Lake Edna,Central Cascades,12.5,roundtrip,4500,6735,2.5,4,47.60855,-120.8820333,9/27/20,56,https://www.wta.org/go-hiking/hikes/lake-edna
Lake Elizabeth,Central Cascades,0.75,roundtrip,69,2890,2.67,6,47.70121419,-121.5182033,8/23/20,45,https://www.wta.org/go-hiking/hikes/lake-elizabeth
Lake Ethel,Central Cascades,9.5,roundtrip,3500,5735,3.25,8,47.77221417,-120.8330317,10/10/20,62,https://www.wta.org/go-hiking/hikes/lake-ethel
Lake Evan,North Cascades,,,,,3.2,5,,,4/25/20,8,https://www.wta.org/go-hiking/hikes/lake-evan
Lake Fenwick Park,Puget Sound and Islands,2.18,roundtrip,300,250,3,1,47.36818636,-122.273006,1/23/21,5,https://www.wta.org/go-hiking/hikes/lake-fenwick-park
Lake George,Mount Rainier Area,9.2,roundtrip,930,,3,9,46.78337317,-121.8875854,10/25/20,60,https://www.wta.org/go-hiking/hikes/lake-george
Lake Hancock,Snoqualmie Region,9.4,roundtrip,1391,2360,2.8,5,47.57467282,-121.7362404,1/23/21,9,https://www.wta.org/go-hiking/hikes/lake-hancock
Lake Hazard,North Cascades,,,,,2.5,4,,,,0,https://www.wta.org/go-hiking/hikes/lake-hazard
Lake Hills Greenbelt,Puget Sound and Islands,2.3,roundtrip,50,330,3.67,3,47.5965559,-122.1321774,1/30/21,17,https://www.wta.org/go-hiking/hikes/lake-hills-greenbelt
Lake Hozomeen,North Cascades,,,,,2,2,,,8/7/20,16,https://www.wta.org/go-hiking/hikes/hozomeen
Lake Ingalls,Snoqualmie Region,9,roundtrip,2500,6500,4.28,95,47.43671667,-120.9371667,11/7/20,986,https://www.wta.org/go-hiking/hikes/lake-ingalls
Lake Isabel,Central Cascades,7,roundtrip,,,2.93,14,47.84856425,-121.6145881,2/8/21,74,https://www.wta.org/go-hiking/hikes/lake-isabel
